"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Mar-2022","EQ","431.85","431.85","414.75","437.10","418.40","417.25","423.93","536.70","268.45",38765185,"16,433,838,263.50",616081
"03-Mar-2022","EQ","458.50","458.50","435.00","447.60","437.90","437.10","443.17","536.70","268.45",29599672,"13,117,748,918.25",391753
"02-Mar-2022","EQ","452.95","454.25","444.55","454.05","448.80","447.60","449.27","536.70","268.45",25791134,"11,587,137,992.70",335482
"28-Feb-2022","EQ","445.00","457.35","440.45","459.75","453.95","454.05","452.40","536.70","268.45",34475468,"15,596,569,802.85",355388
"25-Feb-2022","EQ","444.85","465.70","441.60","427.95","460.85","459.75","459.06","536.70","268.45",48876182,"22,436,877,368.65",536058
"24-Feb-2022","EQ","455.95","461.55","405.45","477.00","425.90","427.95","443.91","536.70","268.45",57265685,"25,420,800,452.15",775585
"23-Feb-2022","EQ","481.75","485.40","475.30","478.25","477.00","477.00","480.31","536.70","268.45",17703998,"8,503,350,999.45",205394
"22-Feb-2022","EQ","480.55","486.30","471.45","494.45","478.50","478.25","479.41","536.70","268.45",27957544,"13,403,106,998.80",310898
"21-Feb-2022","EQ","490.15","500.40","486.10","493.15","493.80","494.45","494.28","536.70","268.45",22592161,"11,166,907,442.25",218559
"18-Feb-2022","EQ","498.00","502.65","491.50","499.95","493.45","493.15","497.39","536.70","268.45",15476803,"7,698,020,965.80",150287
"17-Feb-2022","EQ","505.90","511.50","498.30","498.45","498.70","499.95","505.01","536.70","268.45",27943077,"14,111,498,329.35",262768
"16-Feb-2022","EQ","504.00","507.90","496.60","504.00","497.45","498.45","502.42","536.70","268.45",20176993,"10,137,291,914.20",220758
"15-Feb-2022","EQ","476.15","505.50","467.30","471.45","503.00","504.00","486.19","536.70","268.45",30623088,"14,888,773,774.50",320563
"14-Feb-2022","EQ","487.00","488.50","468.80","498.85","471.00","471.45","479.11","536.70","268.45",22157389,"10,615,896,091.85",350322
"11-Feb-2022","EQ","503.25","507.00","497.00","507.45","497.55","498.85","501.22","536.70","268.45",13534899,"6,783,991,221.95",144160
"10-Feb-2022","EQ","506.70","510.50","504.20","501.25","507.25","507.45","507.83","536.70","268.45",14537945,"7,382,807,621.45",203341
"09-Feb-2022","EQ","496.50","503.70","494.70","492.75","501.20","501.25","500.34","536.70","268.45",12430730,"6,219,589,247.55",146963
"08-Feb-2022","EQ","498.00","498.50","479.15","494.60","492.00","492.75","489.24","536.70","268.45",23378623,"11,437,653,896.50",339842
"07-Feb-2022","EQ","502.90","504.35","492.50","500.60","493.80","494.60","496.88","536.70","268.45",13392910,"6,654,720,138.55",183916
